"logmicrobid","logid","logLoc","rep_code","sampleName"
101,90,"b",NA,"V1b"
208,185,"t",NA,"V2t-bag"
211,185,"b",NA,"V2b-bag"
207,184,"t","z","V2t"
210,184,"b","z","V2b"
209,186,"t",NA,"V2t"
212,186,"b",NA,"V2b"
317,281,"t",NA,"V3t-bag"
320,281,"b",NA,"V3b-bag"
316,280,"t","z","V3t"
319,280,"b","z","V3b"
318,282,"t",NA,"V3t"
321,282,"b",NA,"V3b"
428,377,"t",NA,"V4t-bag"
431,377,"b",NA,"V4b-bag"
427,376,"t","z","V4t"
430,376,"b","z","V4b"
429,378,"t",NA,"V4t"
432,378,"b",NA,"V4b"
538,473,"t",NA,"V5t-bag"
541,473,"b",NA,"V5b-bag"
537,472,"t","z","V5t"
540,472,"b","z","V5b"
539,474,"t",NA,"V5t"
542,474,"b",NA,"V5b"
649,569,"t",NA,"V6t-bag"
652,569,"b",NA,"V6b-bag"
648,568,"t","z","V6t"
651,568,"b","z","V6b"
650,570,"t",NA,"V6t"
653,570,"b",NA,"V6b"
758,665,"t",NA,"V7t-bag"
761,665,"b",NA,"V7b-bag"
757,664,"t","z","V7t"
760,664,"b","z","V7b"
759,666,"t",NA,"V7t"
762,666,"b",NA,"V7b"
866,761,"t",NA,"V8t-bag"
869,761,"b",NA,"V8b-bag"
865,760,"t","z","V8t"
868,760,"b","z","V8b"
867,762,"t",NA,"V8t"
870,762,"b",NA,"V8b"
102,92,"t","z","W1t"
104,92,"b","z","W1b"
103,93,"t",NA,"W1t"
105,93,"b",NA,"W1b"
213,188,"t","z","W2t"
215,188,"b","z","W2b"
214,189,"t",NA,"W2t"
216,189,"b",NA,"W2b"
322,284,"t","z","W3t"
324,284,"b","z","W3b"
323,285,"t",NA,"W3t"
325,285,"b",NA,"W3b"
433,380,"t","z","W4t"
435,380,"b","z","W4b"
434,381,"t",NA,"W4t"
436,381,"b",NA,"W4b"
543,476,"t","z","W5t"
545,476,"b","z","W5b"
544,477,"t",NA,"W5t"
546,477,"b",NA,"W5b"
654,572,"t","z","W6t"
656,572,"b","z","W6b"
655,573,"t",NA,"W6t"
657,573,"b",NA,"W6b"
